Text,label
Government announces new tax reforms starting next month.,Real
Invisible man caught on camera in local supermarket.,Fake
"Dinosaurs cloned successfully in hidden lab, scientists reveal.",Fake
"Drinking coffee cures all types of cancer, study claims.",Fake
Government announces new tax reforms starting next month.,Real
University launches scholarship program for underprivileged students.,Real
Local school wins national robotics competition.,Real
Man claims to have lived without food or water for 10 years.,Fake
City council approves plan for new public park.,Real
Company reports record profits for the third quarter.,Real
Scientists develop vaccine for newly discovered virus.,Real
Healthcare system introduces new policies for patient care.,Real
City council approves plan for new public park.,Real
Invisible man caught on camera in local supermarket.,Fake
New bridge inaugurated connecting two major cities.,Real
Celebrity claims to have traveled back in time to warn humanity.,Fake
Invisible man caught on camera in local supermarket.,Fake
New bridge inaugurated connecting two major cities.,Real
Scientists develop vaccine for newly discovered virus.,Real
Scientists find evidence of mermaids living in the Pacific Ocean.,Fake
Healthcare system introduces new policies for patient care.,Real
Company reports record profits for the third quarter.,Real
World leaders meet secretly to plan human colonization of Mars next year.,Fake
"Aliens have been spotted in the city center, according to an anonymous source.",Fake
City council approves plan for new public park.,Real
National team wins gold medal in international sports event.,Real
"Drinking coffee cures all types of cancer, study claims.",Fake
Local school wins national robotics competition.,Real
Man claims to have lived without food or water for 10 years.,Fake
Weather department forecasts heavy rains for the coming week.,Real
Man grows 10 feet tall overnight after eating special fruit.,Fake
"Aliens have been spotted in the city center, according to an anonymous source.",Fake
Man claims to have lived without food or water for 10 years.,Fake
Man grows 10 feet tall overnight after eating special fruit.,Fake
University launches scholarship program for underprivileged students.,Real
National team wins gold medal in international sports event.,Real
Celebrity claims to have traveled back in time to warn humanity.,Fake
Man grows 10 feet tall overnight after eating special fruit.,Fake
Man claims to have lived without food or water for 10 years.,Fake
Man grows 10 feet tall overnight after eating special fruit.,Fake
National team wins gold medal in international sports event.,Real
University launches scholarship program for underprivileged students.,Real
City council approves plan for new public park.,Real
Technology company invents teleportation device for public use.,Fake
World leaders meet secretly to plan human colonization of Mars next year.,Fake
Company reports record profits for the third quarter.,Real
Healthcare system introduces new policies for patient care.,Real
Technology company invents teleportation device for public use.,Fake
"Drinking coffee cures all types of cancer, study claims.",Fake
New bridge inaugurated connecting two major cities.,Real
"Drinking coffee cures all types of cancer, study claims.",Fake
Scientists develop vaccine for newly discovered virus.,Real
"Drinking coffee cures all types of cancer, study claims.",Fake
Technology company invents teleportation device for public use.,Fake
Man grows 10 feet tall overnight after eating special fruit.,Fake
National team wins gold medal in international sports event.,Real
"Dinosaurs cloned successfully in hidden lab, scientists reveal.",Fake
Celebrity claims to have traveled back in time to warn humanity.,Fake
Scientists find evidence of mermaids living in the Pacific Ocean.,Fake
Healthcare system introduces new policies for patient care.,Real
Man claims to have lived without food or water for 10 years.,Fake
Local school wins national robotics competition.,Real
Scientists find evidence of mermaids living in the Pacific Ocean.,Fake
Scientists find evidence of mermaids living in the Pacific Ocean.,Fake
City council approves plan for new public park.,Real
Invisible man caught on camera in local supermarket.,Fake
"Aliens have been spotted in the city center, according to an anonymous source.",Fake
University launches scholarship program for underprivileged students.,Real
New bridge inaugurated connecting two major cities.,Real
Celebrity claims to have traveled back in time to warn humanity.,Fake
